orifice_d_m,Vc_m3,Cd,muzzle_v,impulse,t_end_s,peak_F
0.01,0.0012,0.6,19.60144697746662,19.60144697746662,0.04770000000000034,2992.425979646606
0.01,0.0012,0.7,21.596545688131954,21.596545688131954,0.04460000000000025,2983.6964313879585
0.01,0.0012,0.8,23.305806115919133,23.305806115919133,0.042300000000000185,2845.303319511685
0.012,0.0005,0.6,23.21270090454308,23.21270090454308,0.04210000000000018,3019.532650847839
0.012,0.0005,0.7,24.876784274426292,24.876784274426292,0.04010000000000012,3074.951961125244
0.012,0.0005,0.8,26.210658945149525,26.210658945149525,0.03860000000000008,3281.7202959335095
0.012,0.0008,0.6,23.89966747957838,23.89966747957838,0.04140000000000016,3024.6029697791064
0.012,0.0008,0.7,25.72929796142268,25.72929796142268,0.0393000000000001,3079.9030243425273
0.012,0.0008,0.8,27.27031742383006,27.27031742383006,0.037800000000000056,3281.7202959335095
0.012,0.001,0.6,24.126703365983108,24.126703365983108,0.04120000000000015,3026.288024850857
0.012,0.001,0.7,26.019533330603526,26.019533330603526,0.03910000000000009,3081.549055148556
0.012,0.001,0.8,27.603882329144117,27.603882329144117,0.03750000000000005,3281.7202959335095
0.012,0.0012,0.6,24.28171775970169,24.28171775970169,0.04110000000000015,3027.410001321292
0.012,0.0012,0.7,26.1963379510335,26.1963379510335,0.03890000000000009,3082.645215235671
0.012,0.0012,0.8,27.82309650734434,27.82309650734434,0.03730000000000004,3281.7202959335095
0.015,0.0005,0.6,27.60422101353807,27.60422101353807,0.037100000000000036,3845.8283335318547
0.015,0.0005,0.7,28.74081550629964,28.74081550629964,0.0359,4486.8601944390675
0.015,0.0005,0.8,29.58293534481799,29.58293534481799,0.03509999999999998,5127.892055346278
0.015,0.0008,0.6,28.983057761012528,28.983057761012528,0.03620000000000001,3845.8283335318547
0.015,0.0008,0.7,30.484124520505063,30.484124520505063,0.03489999999999997,4486.8601944390675
0.015,0.0008,0.8,31.62387580630604,31.62387580630604,0.033899999999999944,5127.892055346278
0.015,0.001,0.6,29.41678671658354,29.41678671658354,0.0359,3845.8283335318547
0.015,0.001,0.7,31.01704682501209,31.01704682501209,0.03449999999999996,4486.8601944390675
0.015,0.001,0.8,32.28792870693928,32.28792870693928,0.03349999999999993,5127.892055346278
0.015,0.0012,0.6,29.70143608177729,29.70143608177729,0.035699999999999996,3845.8283335318547
0.015,0.0012,0.7,31.386603670945984,31.386603670945984,0.034299999999999956,4486.8601944390675
0.015,0.0012,0.8,32.75067908772091,32.75067908772091,0.03329999999999993,5127.892055346278
0.018,0.0005,0.6,29.973297729068936,29.973297729068936,0.034599999999999964,5538.152446326892
0.018,0.0005,0.7,30.673300152155626,30.673300152155626,0.033899999999999944,6461.2383260332745
0.018,0.0005,0.8,31.14752690198767,31.14752690198767,0.03339999999999993,7384.324205739658
0.018,0.0008,0.6,32.21920660385814,32.21920660385814,0.03339999999999993,5538.152446326892
0.018,0.0008,0.7,33.30002078197293,33.30002078197293,0.03259999999999991,6461.2383260332745
0.018,0.0008,0.8,34.029873305326085,34.029873305326085,0.03189999999999989,7384.324205739658
0.018,0.001,0.6,32.964534824107545,32.964534824107545,0.03299999999999992,5538.152446326892
0.018,0.001,0.7,34.1712954267879,34.1712954267879,0.03209999999999989,6461.2383260332745
0.018,0.001,0.8,35.09687822150547,35.09687822150547,0.031499999999999875,7384.324205739658
0.018,0.0012,0.6,33.4859586785457,33.4859586785457,0.03279999999999991,5538.152446326892
0.018,0.0012,0.7,34.76567550614107,34.76567550614107,0.031799999999999884,6461.2383260332745
0.018,0.0012,0.8,35.80405104396558,35.80405104396558,0.031199999999999867,7384.324205739658
